MaGiaoDich,NgayThanhToan,ThangThanhToan,DoTuoiThiSinh,TenChungChi,LinhVuc,GiaGoc,PhanTramGiamGia,DoanhThuThucTe,PhuongThucThanhToan,NgayThi,DiemThi,TrangThaiThi
HD00398,2023-01-01,2023-01,27,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-01-26,6.0,Đạt
HD00756,2023-01-01,2023-01,23,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,VNPay,2023-01-17,930,Đạt
HD01259,2023-01-01,2023-01,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-01-23,6.5,Đạt
HD00205,2023-01-02,2023-01,24,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-01-29,4.0,Đạt
HD01074,2023-01-02,2023-01,28,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-01-29,630,Đạt
HD01254,2023-01-02,2023-01,29,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,Chuyển khoản,2023-01-18,6.0,Đạt
HD01343,2023-01-02,2023-01,18,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-01-17,595,Đạt
HD00416,2023-01-03,2023-01,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-02-01,555,Đạt
HD00554,2023-01-03,2023-01,21,MOS Word,Tin Học,850000,0.15,722500.0,Tiền mặt,2023-01-30,676,Không đạt
HD01393,2023-01-03,2023-01,27,MOS Excel,Tin Học,850000,0,850000,Tiền mặt,2023-01-19,699,Không đạt
HD00599,2023-01-04,2023-01,20,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-02-03,5.5,Đạt
HD00723,2023-01-04,2023-01,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-01-27,790,Đạt
HD01342,2023-01-04,2023-01,28,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-01-25,4.2,Đạt
HD00366,2023-01-05,2023-01,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-01-25,605,Đạt
HD00767,2023-01-05,2023-01,17,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-01-24,685,Đạt
HD00611,2023-01-06,2023-01,25,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-02-02,755,Đạt
HD01376,2023-01-06,2023-01,31,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-01-28,6.0,Đạt
HD01394,2023-01-06,2023-01,19,VSTEP,Ngoại Ngữ,1800000,0.15,1530000.0,Chuyển khoản,2023-01-30,7.3,Đạt
HD01497,2023-01-06,2023-01,21,MOS Word,Tin Học,850000,0.15,722500.0,Momo,2023-01-27,847,Đạt
HD00712,2023-01-09,2023-01,26,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-02-07,4.9,Đạt
HD01160,2023-01-09,2023-01,19,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-01-25,625,Đạt
HD00266,2023-01-10,2023-01,26,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-02-09,5.5,Đạt
HD00462,2023-01-10,2023-01,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-02-08,755,Đạt
HD00693,2023-01-10,2023-01,26,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-01-29,4.5,Không đạt
HD00442,2023-01-11,2023-01,23,MOS Excel,Tin Học,850000,0,850000,VNPay,2023-01-31,781,Đạt
HD01306,2023-01-11,2023-01,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-01-27,6.5,Đạt
HD00654,2023-01-12,2023-01,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-02-08,705,Đạt
HD00871,2023-01-12,2023-01,24,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,Momo,2023-01-30,4.6,Đạt
HD00914,2023-01-12,2023-01,20,MOS Excel,Tin Học,850000,0,850000,Momo,2023-01-27,818,Đạt
HD00998,2023-01-13,2023-01,21,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Chuyển khoản,2023-02-06,6.5,Đạt
HD01325,2023-01-13,2023-01,24,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-02-02,385,Không đạt
HD00217,2023-01-14,2023-01,25,MOS Excel,Tin Học,850000,0.1,765000.0,Momo,2023-02-11,860,Đạt
HD00382,2023-01-14,2023-01,26,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-02-12,290,Không đạt
HD01117,2023-01-14,2023-01,19,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Tiền mặt,2023-02-02,560,Đạt
HD01439,2023-01-14,2023-01,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-02-04,640,Đạt
HD00110,2023-01-15,2023-01,19,MOS Word,Tin Học,850000,0,850000,VNPay,2023-02-07,762,Đạt
HD00493,2023-01-15,2023-01,24,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,VNPay,2023-01-30,800,Đạt
HD00684,2023-01-15,2023-01,25,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-02-13,325,Không đạt
HD00138,2023-01-16,2023-01,20,MOS Excel,Tin Học,850000,0.1,765000.0,Chuyển khoản,2023-02-05,883,Đạt
HD00815,2023-01-16,2023-01,22,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,VNPay,2023-01-30,905,Đạt
HD00080,2023-01-17,2023-01,24,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Momo,2023-02-01,5.0,Đạt
HD00331,2023-01-18,2023-01,23,MOS Word,Tin Học,850000,0.2,680000.0,Chuyển khoản,2023-02-12,670,Không đạt
HD01257,2023-01-18,2023-01,19,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Tiền mặt,2023-02-12,6.5,Đạt
HD01491,2023-01-18,2023-01,23,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-02-07,7.5,Đạt
HD00748,2023-01-19,2023-01,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-02-15,700,Đạt
HD01311,2023-01-19,2023-01,24,VSTEP,Ngoại Ngữ,1800000,0.15,1530000.0,Tiền mặt,2023-02-14,5.0,Đạt
HD00813,2023-01-20,2023-01,24,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-02-18,6.0,Đạt
HD01185,2023-01-20,2023-01,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-02-04,615,Đạt
HD00145,2023-01-21,2023-01,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-02-10,595,Đạt
HD00236,2023-01-21,2023-01,20,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-02-19,7.5,Đạt
HD00780,2023-01-21,2023-01,17,IELTS,Ngoại Ngữ,4500000,0,4500000,VNPay,2023-02-08,4.0,Không đạt
HD01190,2023-01-21,2023-01,22,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Momo,2023-02-19,5.0,Đạt
HD00004,2023-01-22,2023-01,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-02-12,440,Không đạt
HD00677,2023-01-22,2023-01,16,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Momo,2023-02-16,620,Đạt
HD01417,2023-01-22,2023-01,27,VSTEP,Ngoại Ngữ,1800000,0.1,1620000.0,VNPay,2023-02-09,6.2,Đạt
HD00149,2023-01-23,2023-01,21,MOS Word,Tin Học,850000,0,850000,Momo,2023-02-21,790,Đạt
HD00498,2023-01-24,2023-01,23,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,VNPay,2023-02-23,7.0,Đạt
HD00805,2023-01-24,2023-01,24,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Tiền mặt,2023-02-13,845,Đạt
HD00841,2023-01-24,2023-01,25,MOS Word,Tin Học,850000,0,850000,Chuyển khoản,2023-02-19,780,Đạt
HD01229,2023-01-24,2023-01,22,MOS Excel,Tin Học,850000,0.1,765000.0,VNPay,2023-02-08,906,Đạt
HD01391,2023-01-24,2023-01,15,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Tiền mặt,2023-02-08,610,Đạt
HD00890,2023-01-25,2023-01,19,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-02-11,7.5,Đạt
HD01230,2023-01-26,2023-01,24,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,VNPay,2023-02-18,900,Đạt
HD01251,2023-01-28,2023-01,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-02-13,525,Không đạt
HD01494,2023-01-28,2023-01,21,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-02-16,890,Đạt
HD00755,2023-01-29,2023-01,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-02-24,4.0,Không đạt
HD00888,2023-01-29,2023-01,19,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-02-21,710,Đạt
HD00918,2023-01-29,2023-01,19,IELTS,Ngoại Ngữ,4500000,0.15,3825000.0,VNPay,2023-02-19,6.0,Đạt
HD01094,2023-01-29,2023-01,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-02-27,510,Không đạt
HD00242,2023-01-30,2023-01,20,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Chuyển khoản,2023-02-21,6.5,Đạt
HD00505,2023-01-31,2023-01,18,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Chuyển khoản,2023-02-27,6.5,Đạt
HD00997,2023-01-31,2023-01,25,MOS Excel,Tin Học,850000,0.1,765000.0,Momo,2023-02-23,658,Không đạt
HD00152,2023-02-01,2023-02,21,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,Momo,2023-03-03,550,Đạt
HD00544,2023-02-01,2023-02,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-03-02,550,Đạt
HD00564,2023-02-01,2023-02,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-02-19,635,Đạt
HD00073,2023-02-02,2023-02,22,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-02-20,5.8,Đạt
HD00114,2023-02-03,2023-02,19,MOS Excel,Tin Học,850000,0.2,680000.0,Tiền mặt,2023-03-02,935,Đạt
HD00735,2023-02-03,2023-02,23,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-01,590,Đạt
HD01199,2023-02-03,2023-02,19,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Tiền mặt,2023-03-02,600,Đạt
HD01455,2023-02-04,2023-02,17,MOS Excel,Tin Học,850000,0,850000,VNPay,2023-02-25,858,Đạt
HD01471,2023-02-06,2023-02,26,IELTS,Ngoại Ngữ,4500000,0.2,3600000.0,Momo,2023-03-01,8.5,Đạt
HD01217,2023-02-07,2023-02,21,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Tiền mặt,2023-02-23,6.5,Đạt
HD00434,2023-02-09,2023-02,21,IELTS,Ngoại Ngữ,4500000,0,4500000,Tiền mặt,2023-02-28,8.0,Đạt
HD00475,2023-02-09,2023-02,19,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,VNPay,2023-03-10,670,Đạt
HD01065,2023-02-09,2023-02,20,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Momo,2023-03-09,7.0,Đạt
HD01452,2023-02-09,2023-02,23,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-02-28,6.5,Đạt
HD00470,2023-02-10,2023-02,26,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-03-11,450,Không đạt
HD00512,2023-02-11,2023-02,23,VSTEP,Ngoại Ngữ,1800000,0,1800000,Chuyển khoản,2023-03-13,7.9,Đạt
HD00782,2023-02-11,2023-02,25,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-02-25,475,Không đạt
HD01360,2023-02-11,2023-02,17,TOEIC,Ngoại Ngữ,1200000,0,1200000,Tiền mặt,2023-03-07,770,Đạt
HD00188,2023-02-12,2023-02,24,TOEIC,Ngoại Ngữ,1200000,0.2,960000.0,VNPay,2023-03-13,765,Đạt
HD01498,2023-02-12,2023-02,25,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-03-09,420,Không đạt
HD00316,2023-02-13,2023-02,28,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Chuyển khoản,2023-03-11,885,Đạt
HD00696,2023-02-13,2023-02,15,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-07,445,Không đạt
HD00968,2023-02-13,2023-02,17,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-15,535,Không đạt
HD00975,2023-02-14,2023-02,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-03-04,6.5,Đạt
HD00057,2023-02-15,2023-02,15,MOS Word,Tin Học,850000,0,850000,Tiền mặt,2023-03-10,761,Đạt
HD00476,2023-02-16,2023-02,22,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-03-07,530,Không đạt
HD00030,2023-02-17,2023-02,16,VSTEP,Ngoại Ngữ,1800000,0,1800000,Tiền mặt,2023-03-18,6.9,Đạt
HD01088,2023-02-17,2023-02,26,MOS Word,Tin Học,850000,0,850000,Chuyển khoản,2023-03-17,896,Đạt
HD01464,2023-02-17,2023-02,20,TOEIC,Ngoại Ngữ,1200000,0,1200000,Momo,2023-03-18,685,Đạt
HD00184,2023-02-18,2023-02,24,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,Momo,2023-03-16,6.5,Đạt
HD01179,2023-02-18,2023-02,26,MOS Word,Tin Học,850000,0.2,680000.0,Chuyển khoản,2023-03-16,692,Không đạt
HD00908,2023-02-19,2023-02,22,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-03-14,5.0,Đạt
HD00970,2023-02-20,2023-02,15,IELTS,Ngoại Ngữ,4500000,0,4500000,Momo,2023-03-11,5.5,Đạt
HD01473,2023-02-20,2023-02,26,TOEIC,Ngoại Ngữ,1200000,0,1200000,VNPay,2023-03-07,855,Đạt
HD00781,2023-02-21,2023-02,16,VSTEP,Ngoại Ngữ,1800000,0.2,1440000.0,VNPay,2023-03-17,5.0,Đạt
HD00766,2023-02-22,2023-02,15,MOS Word,Tin Học,850000,0.1,765000.0,Momo,2023-03-17,821,Đạt
HD01209,2023-02-22,2023-02,25,IELTS,Ngoại Ngữ,4500000,0,4500000,Chuyển khoản,2023-03-24,5.0,Đạt
HD01403,2023-02-22,2023-02,16,TOEIC,Ngoại Ngữ,1200000,0,1200000,Chuyển khoản,2023-03-18,860,Đạt
HD00851,2023-02-23,2023-02,20,TOEIC,Ngoại Ngữ,1200000,0.1,1080000.0,Tiền mặt,2023-03-23,805,Đạt
HD01141,2023-02-23,2023-02,24,MOS Word,Tin Học,850000,0.1,765000.0,Tiền mặt,2023-03-11,866,Đạt
HD01401,2023-02-23,2023-02,31,IC3,Tin Học,750000,0.1,675000.0,Momo,2023-03-17,727,Đạt
HD00863,2023-02-24,2023-02,25,MOS Word,Tin Học,850000,0.15,722500.0,Tiền mặt,2023-03-17,813,Đạt
HD01373,2023-02-24,2023-02,15,TOEIC,Ngoại Ngữ,1200000,0.15,1020000.0,Momo,2023-03-24,585,Đạt
HD00222,2023-02-25,2023-02,23,IC3,Tin Học,750000,0,750000,Tiền mặt,2023-03-26,690,Không đạt
HD01029,2023-02-25,2023-02,20,IELTS,Ngoại Ngữ,4500000,0.1,4050000.0,VNPay,2023-03-18,6.5,Đạt
HD01053,2023-02-25,2023-02,25,MOS Word,Tin Học,850000,0,850000,VNPay,2023-03-16,868,Đạt
